plants,cids
0,1807
0,2796
0,209
0,1150
0,3856
0,1233
0,1630
0,4008
0,1926
0,2157
0,3588
0,3583
0,2709
1,2796
1,1330
1,1377
1,799
1,1334
1,203
2,2796
2,2558
2,58
2,3810
2,2554
2,4206
2,2898
2,622
3,3039
3,2588
3,1202
4,2796
4,1330
4,521
4,172
4,1543
4,355
4,2983
4,3310
4,456
4,888
4,2680
5,2796
5,3644
5,1101
5,3006
5,1432
5,4182
6,1807
6,1468
6,3451
6,2369
6,1723
6,3483
6,3006
6,4062
6,250
6,160
6,1240
6,2216
6,4309
6,1264
6,3996
7,1807
7,2796
7,535
7,3775
7,2281
7,271
7,780
7,3699
7,417
7,3856
7,3187
7,3425
7,2340
7,4008
7,3568
7,442
7,2054
7,250
7,476
7,1749
7,579
7,51
7,2458
7,160
7,1504
7,2216
7,3560
7,4309
7,1264
7,1280
7,4009
8,2182
8,2201
8,4206
8,2311
8,1334
8,2216
8,4309
8,1264
8,3583
9,2182
9,4172
9,21
9,2201
9,1711
9,1053
9,417
9,453
9,4077
9,2536
9,2001
9,2466
9,2766
9,2311
9,1926
9,3583
9,4085
9,65
10,3568
11,2587
11,132
11,3387
11,1926
11,1986
11,958
12,1807
12,2182
12,1636
12,2983
12,3856
12,3628
13,3419
13,2558
13,21
13,611
13,2881
13,3596
13,1867
13,2034
13,2243
13,568
13,4180
13,1630
13,2466
13,2517
13,422
13,3191
13,2087
13,1137
14,2796
14,2664
14,3035
14,3644
14,1330
14,780
14,1901
14,3568
14,620
14,250
14,2888
14,2311
14,3828
14,1334
14,4296
14,3583
14,4085
14,3639
14,1277
14,1935
15,2825
16,2182
16,3034
16,1250
16,1674
16,1762
16,1894
16,1053
16,417
16,250
16,2466
16,1926
16,1680
16,1907
16,3191
17,2796
18,2796
18,3035
18,3644
18,2825
18,798
18,4008
18,2049
18,1926
18,1889
18,3492
18,323
19,2028
20,3644
20,1693
20,798
20,2888
20,1377
20,2311
20,983
21,710
21,3456
21,1738
21,4182
22,2825
23,2796
23,228
23,2895
23,1501
23,3583
24,3419
24,2552
24,1689
24,521
24,3134
24,125
24,3052
24,181
24,4306
24,485
24,671
24,136
24,1409
24,1079
24,1543
24,2047
24,2015
24,299
24,4238
24,1135
24,776
24,3094
24,456
24,3743
24,1380
24,2780
24,1338
24,1907
24,1673
24,1896
24,1970
24,2846
24,196
24,3774
24,1277
25,1953
25,2281
25,2848
25,172
25,1101
25,4261
25,2041
25,1892
25,292
25,2948
26,2796
26,1953
26,2060
26,716
26,1101
26,3628
26,1892
26,1377
26,1568
26,85
26,292
26,2650
26,575
27,3323
27,2796
27,1782
27,1636
27,3869
27,1436
28,271
28,3134
28,17
28,132
28,3125
28,2311
28,2115
28,3583
28,1277
29,2017
30,4115
30,868
30,3776
30,4305
30,521
30,60
30,3971
30,2029
30,1948
30,1409
30,875
30,2634
30,1491
30,1047
30,3037
30,1380
30,168
30,4169
30,2450
30,3756
30,2342
31,2825
32,3649
32,684
32,3775
32,2344
32,271
32,1257
32,2181
32,1581
32,1636
32,1927
32,1491
32,1925
32,1932
32,3587
32,1420
32,3767
32,499
32,1460
32,302
32,2186
32,3569
32,3568
32,3808
32,1879
32,957
32,4004
32,4253
32,2165
33,17
33,3361
34,1277
35,2796
35,3141
35,4085
36,1176
36,1264
36,3157
37,2581
37,798
37,620
37,2162
38,2796
38,3483
38,1101
38,798
38,157
38,4062
38,1117
38,1255
38,2216
38,4309
38,3348
38,3241
39,1894
39,1985
39,2311
39,3186
39,85
39,1277
40,2796
40,1234
40,2627
40,2041
41,2627
42,2627
43,3057
44,2796
44,3804
44,611
44,2148
44,2720
44,318
44,1636
44,660
44,1912
44,456
44,1380
44,3570
44,2922
44,2062
44,1377
44,482
44,527
44,2537
44,2893
44,2894
44,4066
44,1124
44,2077
44,1277
44,4151
45,2796
45,2311
45,3480
46,2796
46,3810
46,2825
46,438
46,495
46,798
46,746
46,1564
46,1645
46,1264
46,930
46,257
46,4009
47,776
48,2796
48,1894
48,4025
48,3583
48,1277
49,74
49,859
49,2108
49,1867
49,1380
49,1338
49,26
49,2626
49,3114
50,2311
50,3583
51,2105
52,3968
52,2501
52,2860
52,3098
53,1657
54,2796
54,2983
54,928
54,2317
54,3676
54,1657
54,3481
54,4066
55,2796
55,1689
55,885
55,2506
55,521
55,692
55,1752
55,1444
55,419
55,4026
56,2796
56,3590
56,842
56,2695
57,1357
57,2796
57,2182
57,2749
57,996
57,4306
57,1894
57,776
57,3094
57,722
57,4123
57,2172
57,1885
57,2311
57,1907
57,3342
57,1264
57,3337
57,3583
57,2372
58,620
58,1377
58,3975
58,1549
59,3867
59,330
59,113
59,2180
59,284
59,4114
60,2796
60,3035
60,693
60,1942
60,862
60,438
60,2983
60,1591
60,3657
60,3735
61,2796
61,1942
61,244
61,438
61,2643
61,1935
62,535
62,2571
63,2796
63,3035
63,798
63,1117
63,1255
63,1264
64,2796
64,3035
64,3262
64,3176
64,3810
64,1643
64,1020
64,1345
64,2825
64,1021
64,3529
64,1454
64,3006
64,3567
64,2433
64,1864
64,2962
64,2562
64,2183
64,2576
65,3775
65,1741
65,809
